,yDistance,xDistance,theta,width,height,centerX,centerY,aspectRatio,heightRatio,yDiff
821,60,-40,-40,216.09814453125,151.70010375976562,-121.950927734375,-65.50602722167969,1.4245089292526245,0.8037383177570093,-45
822,60,-40,-40,215.94012451171875,152.6769256591797,-122.02993774414062,-65.01761627197266,1.4143599271774292,0.7870370370370371,-45
823,60,-40,-40,218.72149658203125,151.91015625,-120.63925170898438,-65.61105346679688,1.4398082494735718,0.794392523364486,-45
824,60,-40,-40,218.18670654296875,151.64231872558594,-120.90664672851562,-65.47713470458984,1.4388246536254883,0.794392523364486,-45
825,70,0,0,236.23126220703125,88.8607177734375,-0.115570068359375,-76.575439453125,2.6584441661834717,1.0,1
826,70,0,0,238.72792053222656,88.6639404296875,-4.36395263671875,-76.66802978515625,2.692502975463867,1.0,0
827,70,0,0,235.77015686035156,88.08358764648438,-1.8851318359375,-76.95820617675781,2.676663875579834,1.035294117647059,-2
828,70,0,0,235.40647888183594,89.47349548339844,-2.7032470703125,-77.28209686279297,2.631019115447998,1.0344827586206897,-2
829,70,0,0,236.57386779785156,88.19790649414062,-2.2869873046875,-77.01536560058594,2.682307004928589,1.0,1
830,70,0,0,235.57386779785156,89.6502685546875,-2.7869873046875,-77.06193542480469,2.6276984214782715,1.0229885057471264,-1
831,70,0,5,241.70730590820312,98.32131958007812,61.20831298828125,-72.75119018554688,2.458340644836426,1.0229885057471264,9
832,70,0,5,240.76470947265625,98.68629455566406,62.61767578125,-72.4215316772461,2.439697504043579,1.0229885057471264,9
833,70,0,5,239.8885498046875,96.42715454101562,62.117706298828125,-71.80410766601562,2.487769603729248,1.0348837209302326,8
834,70,0,5,243.97799682617188,98.75285339355469,62.41461181640625,-72.27869415283203,2.4705917835235596,1.0459770114942528,8
835,70,0,5,240.76470947265625,98.68629455566406,62.61767578125,-72.4215316772461,2.439697504043579,1.0229885057471264,9
836,70,0,10,241.11187744140625,105.57443237304688,105.44418334960938,-68.08589172363281,2.2838094234466553,1.0459770114942528,14
837,70,0,10,245.0814208984375,104.6539306640625,105.4593505859375,-67.74057006835938,2.341827154159546,1.0459770114942528,14
838,70,0,10,244.48626708984375,104.42124938964844,105.75692749023438,-67.62422943115234,2.341346025466919,1.058139534883721,13
839,70,0,10,244.78030395507812,104.25764465332031,105.60992431640625,-67.54242706298828,2.3478403091430664,1.058139534883721,13
840,70,0,10,244.92010498046875,105.53089904785156,105.53994750976562,-68.25519561767578,2.3208377361297607,1.0340909090909092,15
841,70,5,0,238.9189453125,89.04844665527344,-29.459442138671875,-76.47577667236328,2.6830220222473145,1.0229885057471264,-1
842,70,5,0,238.0802764892578,88.67825317382812,-30.04010009765625,-76.66087341308594,2.684765100479126,1.035294117647059,-3
843,70,5,0,237.93099975585938,90.938720703125,-29.96551513671875,-77.4693603515625,2.6163883209228516,1.0227272727272727,-3
844,70,5,0,238.04905700683594,88.67825317382812,-30.024505615234375,-76.66087341308594,2.684412956237793,1.035294117647059,-3
845,70,5,0,237.9189453125,88.67825317382812,-29.959442138671875,-76.66087341308594,2.682945728302002,1.0114942528735633,-1
