,yDistance,xDistance,theta,width,height,centerX,centerY,aspectRatio,heightRatio,yDiff
112,40,-10,-10,349.3865356,147.7380676,-1.30670166,23.71965027,2.364905357,0.975,-28
113,40,-10,-10,347.1040039,147.576004,-2.447998047,23.41201782,2.352035522,0.983193277,-29
114,40,-10,-10,339.6206055,145.2740479,-6.189697266,24.63702393,2.337792635,0.942622951,-23
115,40,-10,-15,340.7297363,163.0999908,-56.63513184,25.41485596,2.089084864,0.958677686,-42
116,40,-10,-15,341.0872192,160.9648438,-56.45639038,26.48242188,2.119016886,0.94214876,-39
117,40,-10,-15,341.1376343,160.5297394,-56.43118286,26.26489258,2.125074387,0.93495935,-37
118,40,-10,-15,349.1784668,163.1530914,-52.4107666,25.03710938,2.140189171,0.975,-43
119,40,-10,-15,343.567749,164.4202271,-55.21612549,25.35803223,2.089570999,0.951612903,-40
120,40,-15,-5,347.3780518,138.2353058,68.68902588,25.11764526,2.512947321,0.936,-14
121,40,-15,-5,345.0563965,137.0697479,69.52819824,25.53485107,2.517378092,0.935483871,-14
122,40,-15,-5,348.0796204,138.3892365,68.47412109,26.19464111,2.515221834,0.912698413,-12
123,40,-15,-5,343.1708069,136.2266235,69.58538818,25.11331177,2.519117117,0.93495935,-13
124,40,-15,-5,347.7870483,138.2937164,68.56887817,26.14685059,2.514843464,0.928571429,-13
125,40,-15,-10,340.2137451,147.6566162,34.10687256,22.82830811,2.3040874,0.927419355,-23
126,40,-15,-10,341.0390625,148.072525,31.6651001,23.0362854,2.303189278,0.92,-23
127,40,-15,-10,339.1052246,147.8717041,33.5526123,22.93585205,2.293239355,0.93495935,-24
128,40,-15,-10,344.5117188,149.1559906,33.32995605,23.57800293,2.30974102,0.912698413,-23
129,40,-15,-10,343.4666138,147.9733734,34.73330688,22.98666382,2.321137905,0.943089431,-25
130,40,-15,-15,340.1654663,163.260025,-14.91726685,21.6300354,2.083580971,0.919354839,-39
131,40,-15,-15,342.8087463,163.8285217,-17.4418335,22.91426086,2.092485189,0.88976378,-36
132,40,-15,-15,338.9632568,162.6144104,-15.51837158,22.3072052,2.084460258,0.903225806,-38
133,40,-15,-15,340.9619141,163.1207581,-15.51904297,22.56040955,2.090242386,0.896825397,-37
134,40,-15,-15,340.4039917,163.1207733,-15.79800415,22.56039429,2.086821795,0.904761905,-37
135,40,-15,-20,339.5294495,176.8861084,-63.23529053,24.4430542,1.919480562,0.896,-51
136,40,-15,-20,339.2895813,176.5207214,-63.35519409,24.26036072,1.922094941,0.880952381,-50
